PROCEDURE_CODE	Q12016	Q22016	Q32016	Q42016
E2369	99	136	184	226
E2362	11	13	10	4
E0672	9	22	5	6
E0157	41	28	18	30
K0813	11	9	8	8
A4623	16891	15862	15173	15048
L5645	4137	4650	4663	4834
L5910	7030	7642	7771	7833
L5974	385	443	412	400
L0976	198	205	188	165
L5818	21	15	18	17
L5975	105	103	110	122
L5685	5249	5949	6184	6036
L5540	754	756	784	721
L5695	350	381	398	365
L5811	80	92	91	84
L4387	6462	7051	7621	7333
L5200	39	35	35	38
L5845	1516	1713	1690	1886
L1846	1707	1774	1616	1720
L1812	9031	11125	10613	10319
A4625	489	446	385	368
L5697	23	22	40	33
L2280	1782	1795	1932	1971
L0150	397	386	378	364
L8500	172	158	164	148
L4205	3446	4009	3902	3363
L8501	1751	1760	1677	1732
L3760	3183	3143	3611	4419
L3221	1866	2327	2306	2433
L3600	80	96	110	76
L2810	1667	1698	1580	1547
L3100	641	618	533	592
L2250	485	621	617	603
L3040	1925	2100	2080	1913
L6695	23	9	15	18
L2180	56	45	51	62
L5666	87	105	105	100
L5100	50	45	52	40
L5856	430	510	444	600
L1240	22	21	16	26
L8511	40	41	49	54
L3031	272	336	368	373
L0200	84	92	80	91
L0639	190	128	96	69
L5676	61	78	69	67
L0160	85	77	105	72
L3921	194	209	214	219
L2132	2	2	2	4
L4110	137	152	172	150
L2370	42	48	54	38
L4392	18	40	23	27
L1020	16	10	17	12
L8505	36	65	43	68
L5450	182	128	130	132
L1030	3	2	3	3
L6620	12	24	20	17
L3253	17	23	22	15
L6688	41	35	44	40
L3440	36	33	44	25
L3674	21	23	63	33
L2037	38	40	38	36
L3370	67	57	68	67
L0622	16	19	12	6
L1250	19	7	27	19
L0462	122	126	110	99
L2861	3	9	6	14
L0480	20	16	54	23
L5816	35	27	32	23
L2620	12	21	8	17
L8330	7	14	7	13
L6696	27	17	14	28
L6628	15	9	7	15
L6670	18	22	25	20
L0980	3	1	1	0
L1836	121	84	56	52
L3430	35	80	72	36
L6686	46	51	55	56
L6881	84	59	69	70
L1834	18	17	23	22
L5105	12	8	8	5
L1910	36	62	41	28
L2640	8	6	5	5
L1848	1	3	2	4
L5707	11	17	24	20
L0490	3	3	3	4
L3764	26	24	34	24
L1310	1	0	1	0
L0112	3	2	1	3
L1685	13	14	12	9
L5706	11	20	15	13
L4055	10	15	15	10
L6500	6	6	4	5
L1840	10	6	10	12
L5718	3	2	1	0
L7600	32	19	35	34
L3901	12	25	16	12
L0629	12	20	22	12
L2610	10	9	10	5
L2010	1	3	1	0
L5430	1	0	1	0
L1650	5	2	7	5
L0624	6	10	4	5
L6885	2	3	1	1
L6320	4	1	1	2
L8618	0	0	0	0
L8614	1	0	0	0
L6637	8	3	1	4
L6625	2	1	1	2
A7014	2188	1993	1965	2002
E0100	17472	18841	17265	16111
E0188	1051	1123	825	708
A4616	742	661	606	601
A9999	2407	2257	2234	2204
E0116	76	59	73	60
E1356	146	159	114	75
E0296	89	78	75	77
E0430	5	3	1	0
E0484	1321	1272	1182	1219
A4627	656	551	468	452
E1030	29	36	28	37
K0830	3	1	0	0
