PROCEDURE_CODE	Q12012	Q12013	Q12014	Q12015	Q12016	Q22012	Q22013	Q22014	Q22015	Q22016	Q32012	Q32013	Q32014	Q32015	Q32016	Q42012	Q42013	Q42014	Q42015	Q42016
L6642	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0
L6645	0	0	2	1	0	0	0	3	1	0	0	5	2	0	0	0	3	7	0	0
L6646	0	0	3	5	0	0	0	6	8	0	0	4	6	0	0	0	2	2	0	0
L6647	0	0	2	4	0	0	0	2	1	0	0	1	3	0	0	0	1	1	0	0
L6648	0	0	0	1	0	0	0	2	3	0	0	0	2	0	0	0	0	0	0	0
L6650	0	0	5	7	0	0	0	3	6	0	0	2	1	0	0	0	6	1	0	0
L6655	0	0	33	19	0	0	0	32	30	0	0	34	27	0	0	0	38	27	0	0
L6660	0	0	93	80	0	0	0	99	81	0	0	91	105	0	0	0	121	80	0	0
L6665	0	0	49	35	0	0	0	54	45	0	0	49	50	0	0	0	51	49	0	0
L6670	0	0	13	20	0	0	0	28	20	0	0	26	20	0	0	0	21	26	0	0
L6672	0	0	27	22	0	0	0	38	29	0	0	27	30	0	0	0	34	32	0	0
L6675	0	0	82	65	0	0	0	88	63	0	0	88	77	0	0	0	102	76	0	0
L6676	0	0	17	14	0	0	0	23	23	0	0	19	26	0	0	0	38	21	0	0
L6677	0	0	6	4	0	0	0	4	10	0	0	4	1	0	0	0	3	7	0	0
L6680	0	0	134	93	0	0	0	124	126	0	0	144	128	0	0	0	145	123	0	0
L6682	0	0	34	32	0	0	0	60	50	0	0	45	47	0	0	0	61	47	0	0
L6684	0	0	14	8	0	0	0	17	9	0	0	9	10	0	0	0	10	11	0	0
L6686	0	0	29	34	0	0	0	55	45	0	0	32	37	0	0	0	34	45	0	0
L6687	0	0	82	68	0	0	0	81	83	0	0	96	83	0	0	0	94	90	0	0
L6688	0	0	24	20	0	0	0	37	38	0	0	31	30	0	0	0	45	38	0	0
L6689	0	0	5	6	0	0	0	9	7	0	0	4	6	0	0	0	4	4	0	0
L6690	0	0	7	2	0	0	0	7	3	0	0	3	3	0	0	0	4	5	0	0
L6691	0	0	10	13	0	0	0	14	25	0	0	20	16	0	0	0	16	14	0	0
L6692	0	0	25	17	0	0	0	40	15	0	0	30	22	0	0	0	27	24	0	0
L6693	0	0	10	6	0	0	0	15	14	0	0	16	20	0	0	0	11	14	0	0
L6694	0	0	37	28	0	0	0	41	29	0	0	34	47	0	0	0	30	35	0	0
L6695	0	0	12	13	0	0	0	7	12	0	0	22	15	0	0	0	23	14	0	0
L6696	0	0	13	9	0	0	0	15	14	0	0	15	23	0	0	0	13	17	0	0
L6697	0	0	0	2	0	0	0	5	8	0	0	11	2	0	0	0	5	5	0	0
L6698	0	0	37	21	0	0	0	48	36	0	0	27	45	0	0	0	25	35	0	0
L6703	26	18	23	20	0	22	20	28	21	0	20	30	8	0	0	25	15	18	0	0
L6704	15	12	20	11	0	29	29	15	7	0	16	17	18	0	0	23	13	12	0	0
L6706	52	37	45	30	0	62	39	48	41	0	52	51	36	0	0	56	47	39	0	0
L6707	3	2	3	7	0	3	3	5	1	0	6	6	1	0	0	5	5	6	0	0
L6708	22	18	15	11	0	30	21	23	11	0	28	15	17	0	0	20	14	27	0	0
L6709	2	1	2	6	0	6	5	5	3	0	1	2	1	0	0	5	4	4	0	0
L6711	0	0	4	5	0	0	0	0	1	0	0	2	1	0	0	0	5	1	0	0
L6712	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	1	0	0	0
L6713	0	0	1	0	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0
L6715	2	2	2	3	0	4	2	5	6	0	2	3	9	0	0	1	3	3	0	0
L6721	25	15	25	24	0	30	32	25	38	0	24	30	23	0	0	32	42	33	0	0
L6722	2	5	4	1	0	3	3	3	5	0	6	3	4	0	0	3	6	2	0	0
L6805	0	0	3	3	0	0	0	2	2	0	0	2	5	0	0	0	4	2	0	0
