VAR1	COUNT	cq
PI0006JK42:PIKXFXKN97	2	0
PI0006JK42:PIM702U1K1	2	0
PI0006JK42:PINGP69CW1	6	7
PI0006JK42:PIPFGR7CV6	3	4
PI0006JK42:PIR6K7WRG4	3	4
PI0006JK42:PITBB13RA9	2	0
PI0006JK42:PIU88K7GK2	3	4
PI0006JK42:PIU95V4TQ3	7	8
PI0006JK42:PIWXW03XK8	2	0
PI0008GH88:PIMHX232D1	2	0
PI0008RUC5:PI07E902A1	5	6
PI0008RUC5:PI0E5F81W4	3	4
PI0008RUC5:PI0G0M88M3	3	4
PI0008RUC5:PI0NKUW6K4	2	0
PI0008RUC5:PI0NMT38R4	2	0
PI0008RUC5:PI0PXWPMG0	2	0
PI0008RUC5:PI0Q76UFP7	3	4
PI0008RUC5:PI0T69HJM0	2	0
PI0008RUC5:PI11G1C5B6	6	7
PI0008RUC5:PI124VJFE5	10	8
PI0008RUC5:PI1278KT39	5	6
PI0008RUC5:PI16851F77	5	6
PI0008RUC5:PI1A6JQ5N0	3	4
PI0008RUC5:PI1AKM7VW0	2	0
PI0008RUC5:PI1EHHK191	9	8
PI0008RUC5:PI1H6EHPP2	2	0
PI0008RUC5:PI1RXKJMW2	8	8
PI0008RUC5:PI1V0UDWC5	2	0
PI0008RUC5:PI1XWVT2C6	2	0
PI0008RUC5:PI20N442A7	11	8
PI0008RUC5:PI23H009F4	3	4
PI0008RUC5:PI2409DX41	2	0
PI0008RUC5:PI24M1BPP7	11	8
PI0008RUC5:PI294AMH16	2	0
PI0008RUC5:PI2GH8C1G4	2	0
PI0008RUC5:PI2H5797R4	4	6
PI0008RUC5:PI2M9T3MR8	3	4
PI0008RUC5:PI2NBR78P8	2	0
PI0008RUC5:PI2WG6UDN5	2	0
PI0008RUC5:PI33DWED67	3	4
PI0008RUC5:PI37N0U2F2	2	0
PI0008RUC5:PI38H58F52	2	0
PI0008RUC5:PI3CGTU643	3	4
PI0008RUC5:PI3JTQ0B89	2	0
PI0008RUC5:PI3N8DNQT3	6	7
PI0008RUC5:PI3TAEQHG6	5	6
PI0008RUC5:PI3VW8AA06	4	6
PI0008RUC5:PI451PB544	2	0
PI0008RUC5:PI453G2KV5	6	7
PI0008RUC5:PI4CG6JVR3	2	0
PI0008RUC5:PI4F2V7KR8	2	0
PI0008RUC5:PI4M881KU7	3	4
PI0008RUC5:PI4MQET5H0	22	9
PI0008RUC5:PI4MXW16K2	9	8
PI0008RUC5:PI51XWUXR0	4	6
PI0008RUC5:PI52GU99A2	2	0
PI0008RUC5:PI532VJQQ3	9	8
PI0008RUC5:PI588NRBJ4	2	0
PI0008RUC5:PI58H7NHB7	2	0
PI0008RUC5:PI58KERFD4	4	6
PI0008RUC5:PI5BF8AAG8	5	6
PI0008RUC5:PI5DCKV550	2	0
PI0008RUC5:PI5F491QU2	7	8
PI0008RUC5:PI5M7TGBG7	4	6
PI0008RUC5:PI626B9KP7	2	0
PI0008RUC5:PI66N4K3N8	9	8
PI0008RUC5:PI67XE00P0	9	8
PI0008RUC5:PI6AUD5067	11	8
PI0008RUC5:PI6M3TQCP4	3	4
PI0008RUC5:PI6Q2H5681	2	0
PI0008RUC5:PI6QXMK251	16	9
PI0008RUC5:PI6T7E7V63	3	4
PI0008RUC5:PI6UE66QJ7	2	0
PI0008RUC5:PI6V9EKV27	2	0
PI0008RUC5:PI6VFJ9C22	6	7
PI0008RUC5:PI78FG87X6	2	0
PI0008RUC5:PI7AV6UC15	2	0
PI0008RUC5:PI7H20HPW5	2	0
PI0008RUC5:PI7H4250U0	6	7
PI0008RUC5:PI7RXV3321	2	0
PI0008RUC5:PI7TCWD2E0	2	0
PI0008RUC5:PI7TNE49E9	2	0
PI0008RUC5:PI7UC5CDT4	3	4
