IDENTIFIER	NPI.x	HMS_POID.x	COUNT.x	NPI.y	HMS_POID.y	COUNT.y
1103400006	1508846718	PO33D4F1	-4	1265525406	POEJ7R37	-4
1103400007	1508846718	PO33D4F1	-20	1285727438	POF7D4H8	-20
1103400007	1285727438	POF7D4H8	-20	1508846718	PO33D4F1	-20
1103400008	1891887311	PODT1B70	-1	1508846718	PO33D4F1	-1
1103400008	1508846718	PO33D4F1	-1	1891887311	PODT1B70	-1
1103400009	1912006909	PO86A1H5	11	1508846718	PO33D4F1	11
1103400009	1508846718	PO33D4F1	11	1912006909	PO86A1H5	11
1103400010	1508846718	PO33D4F1	-8	1114010378	POBB2G21	-8
1103400010	1114010378	POBB2G21	-8	1508846718	PO33D4F1	-8
1103400012	1902907181	POQNXMK5	-7	1508846718	PO33D4F1	-7
1103400012	1508846718	PO33D4F1	-7	1902907181	POQNXMK5	-7
1103400013	1649294067	POJCGUT7	0	1508846718	PO33D4F1	0
1103400013	1508846718	PO33D4F1	0	1649294067	POJCGUT7	0
1103400014	1508846718	PO33D4F1	192	1750473245	PONJXXP0	192
1103400014	1750473245	PONJXXP0	192	1508846718	PO33D4F1	192
1103400016	1427159615	POJ4RQU7	32	1508846718	PO33D4F1	32
1103400016	1508846718	PO33D4F1	32	1427159615	POJ4RQU7	32
1103400018	1508846718	PO33D4F1	17	1659464899	POBT1XT7	17
1103400018	1659464899	POBT1XT7	17	1508846718	PO33D4F1	17
1103400020	1508846718	PO33D4F1	-9	1861539587	PO8PWR29	-9
1103400020	1861539587	PO8PWR29	-9	1508846718	PO33D4F1	-9
1103400024	1043264476	POJMVWH5	-1	1508846718	PO33D4F1	-1
1103400024	1508846718	PO33D4F1	-1	1043264476	POJMVWH5	-1
1103400032	1063720274	PO4B5MX7	-11	1326475773	POUPDA22	-11
1103400032	1326475773	POUPDA22	-11	1063720274	PO4B5MX7	-11
1103400033	1700117348	POPGP0B5	17	1952604092	POJAEKN8	17
1103400033	1952604092	POJAEKN8	17	1700117348	POPGP0B5	17
1108540001	1811024144	PO0PAMU2	147	1790815173	PO0PAMU2	147
1108540001	1790815173	PO0PAMU2	147	1811024144	PO0PAMU2	147
1109680001	1043276819	POEUGDM9	5625	1699143057	POQ497P2	5625
1109680001	1699143057	POQ497P2	5625	1043276819	POEUGDM9	5625
1109680002	1093956120	POPA9NV3	5527	1942251426	POPA9NV3	5527
1109680002	1942251426	POPA9NV3	5527	1093956120	POPA9NV3	5527
1109680003	1801085071	PO8HNKA1	5999	1053552067	PO8HNKA1	5999
1109680003	1053552067	PO8HNKA1	5999	1801085071	PO8HNKA1	5999
1109680004	1679714554	POH86H17	15619	1891934378	POH86H17	15619
1109680004	1891934378	POH86H17	15619	1679714554	POH86H17	15619
1109680005	1457680472	PO1C6TJ3	3143	1316276272	PO1C6TJ3	3143
1109680005	1316276272	PO1C6TJ3	3143	1457680472	PO1C6TJ3	3143
1109680006	1164790770	PO96WRQ1	909	1437427044	PO96WRQ1	909
1109680006	1437427044	PO96WRQ1	909	1164790770	PO96WRQ1	909
1109680007	1528336138	POMC11G7	943	1578830832	POMC11G7	943
1109680007	1578830832	POMC11G7	943	1528336138	POMC11G7	943
1109680008	1437495355	POJ2BD50	13672	1245576065	POJ2BD50	13672
1109680008	1245576065	POJ2BD50	13672	1437495355	POJ2BD50	13672
1109810002	1740522945	PO7X1HF6	1530	1053319285	POEHXNV7	1530
1109810002	1053319285	POEHXNV7	1530	1740522945	PO7X1HF6	1530
1112420001	1821392226	POG3WBB1	1314	1386948776	POWD13X7	1314
1112420001	1821392226	POG3WBB1	1314	1376508291	POQ4N3C3	1314
1112420001	1386948776	POWD13X7	1314	1821392226	POG3WBB1	1314
1112420001	1386948776	POWD13X7	1314	1376508291	POQ4N3C3	1314
1112420001	1376508291	POQ4N3C3	1314	1386948776	POWD13X7	1314
1112420001	1376508291	POQ4N3C3	1314	1821392226	POG3WBB1	1314
1114640001	1023357639	POWD16N6	233	1356302723	PO32KKP0	233
1114640001	1023357639	POWD16N6	233	1659333029	PO32KKP0	233
1114640001	1659333029	PO32KKP0	233	1356302723	PO32KKP0	233
1114640001	1659333029	PO32KKP0	233	1023357639	POWD16N6	233
1114640001	1356302723	PO32KKP0	233	1023357639	POWD16N6	233
1114640001	1356302723	PO32KKP0	233	1659333029	PO32KKP0	233
1114950018	1770776791	POAAVQK4	-2	NA	NA	NA
1114950022	1396938080	PO5JTRF5	72	1619200664	POURKGP2	72
1114950023	1841483534	PORBGWN2	27	1073746459	PO5Q8T01	27
1115100001	1013129600	PO68CXM7	22	1124190186	POP738D6	22
1115100001	1013129600	PO68CXM7	22	1215074281	POT7ER79	22
1115100001	1013129600	PO68CXM7	22	1275670259	POBUTBN2	22
1115100001	1215074281	POT7ER79	22	1124190186	POP738D6	22
1115100001	1215074281	POT7ER79	22	1275670259	POBUTBN2	22
1115100001	1215074281	POT7ER79	22	1013129600	PO68CXM7	22
1115100001	1124190186	POP738D6	22	1215074281	POT7ER79	22
1115100001	1124190186	POP738D6	22	1275670259	POBUTBN2	22
1115100001	1124190186	POP738D6	22	1013129600	PO68CXM7	22
1115100001	1275670259	POBUTBN2	22	1124190186	POP738D6	22
1115100001	1275670259	POBUTBN2	22	1215074281	POT7ER79	22
1115100001	1275670259	POBUTBN2	22	1013129600	PO68CXM7	22
1116340001	1811092208	POFP2GQ2	8208	1649227273	POFP2GQ2	8208
1116340001	1649227273	POFP2GQ2	8208	1811092208	POFP2GQ2	8208
1119910001	1356321418	POKED764	5826	1588092191	POVR2J06	5826
1119910001	1588092191	POVR2J06	5826	1356321418	POKED764	5826
1120470001	1912091091	POEV36V6	656	1770682924	POJ7EMN4	656
1120470001	1912091091	POEV36V6	656	1447359559	PONPUTC5	656
1120470001	1912091091	POEV36V6	656	1407958846	PONPUTC5	656
1120470001	1912091091	POEV36V6	656	1043319114	PO3NABJ9	656
1120470001	1043319114	PO3NABJ9	656	1770682924	POJ7EMN4	656
1120470001	1043319114	PO3NABJ9	656	1447359559	PONPUTC5	656
1120470001	1043319114	PO3NABJ9	656	1407958846	PONPUTC5	656
1120470001	1043319114	PO3NABJ9	656	1912091091	POEV36V6	656
1120470001	1407958846	PONPUTC5	656	1770682924	POJ7EMN4	656
1120470001	1407958846	PONPUTC5	656	1447359559	PONPUTC5	656
1120470001	1407958846	PONPUTC5	656	1912091091	POEV36V6	656
1120470001	1407958846	PONPUTC5	656	1043319114	PO3NABJ9	656
1120470001	1447359559	PONPUTC5	656	1770682924	POJ7EMN4	656
1120470001	1447359559	PONPUTC5	656	1407958846	PONPUTC5	656
1120470001	1447359559	PONPUTC5	656	1912091091	POEV36V6	656
1120470001	1447359559	PONPUTC5	656	1043319114	PO3NABJ9	656
1120470001	1770682924	POJ7EMN4	656	1447359559	PONPUTC5	656
1120470001	1770682924	POJ7EMN4	656	1407958846	PONPUTC5	656
1120470001	1770682924	POJ7EMN4	656	1912091091	POEV36V6	656
1120470001	1770682924	POJ7EMN4	656	1043319114	PO3NABJ9	656
1120990001	1932504040	PO90PHP8	11	1508892084	PO90PHP8	11
1120990001	1508892084	PO90PHP8	11	1932504040	PO90PHP8	11
1121350001	1932279783	PORAX673	1167	1609946458	POUXHBK9	1167
1121350001	1932279783	PORAX673	1167	1053481770	PO3A0A99	1167
1121350001	1932279783	PORAX673	1167	1306849534	POCU88T1	1167
1121350001	1053481770	PO3A0A99	1167	1609946458	POUXHBK9	1167
1121350001	1053481770	PO3A0A99	1167	1306849534	POCU88T1	1167
1121350001	1053481770	PO3A0A99	1167	1932279783	PORAX673	1167
1121350001	1609946458	POUXHBK9	1167	1053481770	PO3A0A99	1167
1121350001	1609946458	POUXHBK9	1167	1306849534	POCU88T1	1167
1121350001	1609946458	POUXHBK9	1167	1932279783	PORAX673	1167
1121350001	1306849534	POCU88T1	1167	1609946458	POUXHBK9	1167
1121350001	1306849534	POCU88T1	1167	1053481770	PO3A0A99	1167
1121350001	1306849534	POCU88T1	1167	1932279783	PORAX673	1167
1124210003	1699797431	POJKP1W7	72466	1962479550	POEWU5C4	72466
1124210003	1962479550	POEWU5C4	72466	1699797431	POJKP1W7	72466
