HMS_POID	vec.discr.x	vec.discr.y
POWJEWT8	2	3
POWJR861	3	3
POWMBER9	1	1
POWNVBX1	3	3
POWNWHH3	1	NA
POWPU0E2	2	3
POWUN2D7	3	3
POWVEA78	2	1
POX0VPQ0	1	NA
POX2NF51	3	3
POX5MK61	3	3
POX7E017	1	1
POXACRK4	3	3
POXBH804	4	4
POXBJVX4	3	3
POXE3U74	2	2
POXF5M92	3	1
POXMB5D6	3	3
POXP4B23	3	3
POXPAJB0	2	2
POXQHP76	3	3
POXQXKQ1	1	2
POXRCRN3	3	3
POXTQV74	3	3
POXUKGU2	1	NA
POXV2NR9	3	3
POXVCJQ9	1	NA
POXX26J0	2	2
PO067522	NA	1
PO07MFF8	NA	1
PO0E29K2	NA	1
PO0ED285	NA	1
PO0GVT08	NA	1
PO0N5UV0	NA	2
PO0NN5T9	NA	1
PO10RU32	NA	1
PO115XW9	NA	1
PO16M1V8	NA	2
PO18PKQ2	NA	1
PO1DHFF5	NA	1
PO1H5PA2	NA	1
PO1N95W3	NA	1
PO21J5Q0	NA	1
PO2Q20N2	NA	1
PO2XC9J1	NA	1
PO35HFT8	NA	1
PO38A026	NA	1
PO3CQ366	NA	1
PO3H8Q82	NA	1
PO401NE8	NA	1
PO402U43	NA	1
PO40RWQ3	NA	1
PO41M5A8	NA	1
PO41MB07	NA	1
PO41Q1J0	NA	1
PO41W3E1	NA	1
PO421HE8	NA	1
PO42EU65	NA	1
PO45NJV4	NA	1
PO4C5JX1	NA	1
PO4HC7X2	NA	1
PO63RCV2	NA	1
PO6DW067	NA	1
PO6KVX35	NA	4
PO6UKM90	NA	1
PO704V52	NA	1
PO7757C5	NA	1
PO7FQBQ3	NA	1
PO83JF16	NA	1
PO8D23E8	NA	2
PO903VM9	NA	1
POA5E4P6	NA	1
POA74A70	NA	1
POAR9KQ3	NA	1
POB56M39	NA	1
POBBXQW2	NA	1
POCH51V3	NA	1
POCMEW98	NA	1
POCRPV74	NA	1
POCVVE25	NA	1
POD52G27	NA	1
POD66283	NA	1
POD9A9G3	NA	1
PODX4V10	NA	1
POE8R7B1	NA	1
POE99J06	NA	1
POEMF6H8	NA	1
POENBW16	NA	1
POF77383	NA	1
POFAW7T0	NA	1
POFE4F93	NA	1
POFQNCT5	NA	1
POHR5VP0	NA	1
POK5VD82	NA	2
POK8ARR7	NA	1
PONET618	NA	2
POPHD5K5	NA	1
POR868H5	NA	1
POT9PEU3	NA	1
POUAPQW8	NA	1
POX6H257	NA	4
POXACEF6	NA	1
NA	1	1
NA	1	1
NA	1	1
NA	1	1
NA	1	1
NA	1	1
NA	1	1
NA	1	1
NA	1	1
NA	1	1
NA	1	1
NA	1	1
NA	1	1
NA	1	1
NA	1	1
NA	1	1
NA	1	1
NA	1	1
NA	1	1
NA	1	1
NA	1	1
NA	1	1
NA	1	1
NA	1	1
NA	1	1
NA	1	1
NA	1	1
NA	1	1
NA	1	1
NA	1	1
NA	1	1
NA	1	1
NA	1	1
NA	1	1
NA	1	1
NA	1	1
NA	1	1
NA	1	1
NA	1	1
NA	1	1
NA	1	1
NA	1	1
NA	1	1
NA	1	1
NA	1	1
NA	1	1
NA	1	1
NA	1	1
NA	1	1
NA	1	1
NA	1	1
NA	1	1
NA	1	1
NA	1	1
NA	1	1
NA	1	1
NA	1	1
NA	1	1
NA	1	1
NA	1	1
NA	1	1
NA	1	1
NA	1	1
NA	1	1
NA	1	1
NA	1	1
NA	1	1
NA	1	1
NA	1	1
NA	1	1
NA	1	1
NA	1	1
NA	1	1
NA	1	1
NA	1	1
NA	1	1
NA	1	1
NA	1	1
NA	1	1
NA	1	1
NA	1	1
NA	1	1
NA	1	1
NA	1	1
NA	1	1
NA	1	1
NA	1	1
NA	1	1
NA	1	1
NA	1	1
NA	1	1
NA	1	1
NA	1	1
NA	1	1
NA	1	1
NA	1	1
NA	1	1
NA	1	1
NA	1	1
NA	1	1
NA	1	1
NA	1	1
NA	1	1
NA	1	1
NA	1	1
NA	1	1
NA	1	1
NA	1	1
NA	1	1
NA	1	1
NA	1	1
NA	1	1
NA	1	1
NA	1	1
NA	1	1
NA	1	1
NA	1	1
NA	1	1
NA	1	1
NA	1	1
NA	1	1
NA	1	1
NA	1	1
NA	1	1
NA	1	1
NA	1	1
NA	1	1
NA	1	1
NA	1	1
NA	1	1
NA	1	1
NA	1	1
NA	1	1
NA	1	1
NA	1	1
NA	1	1
NA	1	1
NA	1	1
NA	1	1
NA	1	1
NA	1	1
NA	1	1
NA	1	1
NA	1	1
NA	1	1
NA	1	1
NA	1	1
NA	1	1
NA	1	1
NA	1	1
NA	1	1
NA	1	1
NA	1	1
NA	1	1
NA	1	1
NA	1	1
NA	1	1
NA	1	1
NA	1	1
NA	1	1
NA	1	1
NA	1	1
NA	1	1
NA	1	1
NA	1	1
NA	1	1
NA	1	1
NA	1	1
NA	1	1
NA	1	1
NA	1	1
NA	1	1
NA	1	1
NA	1	1
NA	1	1
NA	1	1
NA	1	1
NA	1	1
NA	1	1
NA	1	1
NA	1	1
NA	1	1
NA	1	1
NA	1	1
NA	1	1
NA	1	1
NA	1	1
NA	1	1
NA	1	1
NA	1	1
NA	1	1
NA	1	1
NA	1	1
NA	1	1
NA	1	1
NA	1	1
NA	1	1
NA	1	1
NA	1	1
NA	1	1
NA	1	1
NA	1	1
NA	1	1
NA	1	1
NA	1	1
NA	1	1
NA	1	1
NA	1	1
NA	1	1
NA	1	1
NA	1	1
NA	1	1
NA	1	1
NA	1	1
NA	1	1
NA	1	1
NA	1	1
NA	1	1
NA	1	1
NA	1	1
NA	1	1
NA	1	1
NA	1	1
NA	1	1
NA	1	1
NA	1	1
NA	1	1
NA	1	1
NA	1	1
NA	1	1
NA	1	1
NA	1	1
NA	1	1
NA	1	1
NA	1	1
NA	1	1
NA	1	1
NA	1	1
NA	1	1
NA	1	1
NA	1	1
NA	1	1
NA	1	1
NA	1	1
NA	1	1
NA	1	1
NA	1	1
NA	1	1
NA	1	1
NA	1	1
NA	1	1
NA	1	1
NA	1	1
NA	1	1
NA	1	1
NA	1	1
NA	1	1
NA	1	1
NA	1	1
NA	1	1
NA	1	1
NA	1	1
NA	1	1
NA	1	1
NA	1	1
NA	1	1
NA	1	1
NA	1	1
NA	1	1
NA	1	1
NA	1	1
NA	1	1
NA	1	1
NA	1	1
NA	1	1
NA	1	1
NA	1	1
NA	1	1
NA	1	1
NA	1	1
NA	1	1
NA	1	1
NA	1	1
NA	1	1
NA	1	1
NA	1	1
NA	1	1
NA	1	1
NA	1	1
NA	1	1
NA	1	1
NA	1	1
NA	1	1
NA	1	1
NA	1	1
NA	1	1
NA	1	1
NA	1	1
NA	1	1
NA	1	1
NA	1	1
NA	1	1
NA	1	1
NA	1	1
NA	1	1
NA	1	1
NA	1	1
NA	1	1
NA	1	1
NA	1	1
NA	1	1
NA	1	1
NA	1	1
NA	1	1
NA	1	1
NA	1	1
NA	1	1
NA	1	1
NA	1	1
NA	1	1
NA	1	1
NA	1	1
NA	1	1
NA	1	1
NA	1	1
NA	1	1
NA	1	1
NA	1	1
NA	1	1
NA	1	1
NA	1	1
NA	1	1
NA	1	1
NA	1	1
NA	1	1
NA	1	1
NA	1	1
NA	1	1
NA	1	1
NA	1	1
NA	1	1
NA	1	1
NA	1	1
NA	1	1
NA	1	1
NA	1	1
NA	1	1
NA	1	1
NA	1	1
NA	1	1
NA	1	1
NA	1	1
NA	1	1
NA	1	1
NA	1	1
NA	1	1
NA	1	1
NA	1	1
NA	1	1
NA	1	1
NA	1	1
NA	1	1
NA	1	1
NA	1	1
NA	1	1
NA	1	1
NA	1	1
NA	1	1
NA	1	1
NA	1	1
NA	1	1
NA	1	1
NA	1	1
NA	1	1
NA	1	1
NA	1	1
NA	1	1
NA	1	1
NA	1	1
NA	1	1
NA	1	1
NA	1	1
NA	1	1
NA	1	1
NA	1	1
NA	1	1
NA	1	1
NA	1	1
NA	1	1
NA	1	1
NA	1	1
NA	1	1
NA	1	1
NA	1	1
NA	1	1
NA	1	1
NA	1	1
NA	1	1
NA	1	1
NA	1	1
NA	1	1
NA	1	1
NA	1	1
NA	1	1
NA	1	1
NA	1	1
NA	1	1
NA	1	1
NA	1	1
NA	1	1
NA	1	1
NA	1	1
NA	1	1
NA	1	1
NA	1	1
NA	1	1
NA	1	1
NA	1	1
NA	1	1
NA	1	1
NA	1	1
NA	1	1
NA	1	1
NA	1	1
NA	1	1
NA	1	1
NA	1	1
NA	1	1
NA	1	1
NA	1	1
NA	1	1
NA	1	1
NA	1	1
NA	1	1
NA	1	1
NA	1	1
NA	1	1
NA	1	1
NA	1	1
NA	1	1
NA	1	1
NA	1	1
NA	1	1
NA	1	1
NA	1	1
NA	1	1
NA	1	1
NA	1	1
NA	1	1
NA	1	1
NA	1	1
NA	1	1
NA	1	1
NA	1	1
NA	1	1
NA	1	1
NA	1	1
NA	1	1
NA	1	1
NA	1	1
NA	1	1
NA	1	1
NA	1	1
NA	1	1
NA	1	1
NA	1	1
NA	1	1
NA	1	1
NA	1	1
NA	1	1
NA	1	1
NA	1	1
NA	1	1
NA	1	1
NA	1	1
NA	1	1
NA	1	1
NA	1	1
NA	1	1
NA	1	1
NA	1	1
