HMS_POID	vec.discr.x	vec.discr.y
POK4QM84	2	2
POK5KX02	3	2
POK5TH18	2	2
POK5VD82	2	NA
POK61W77	3	1
POK68652	2	2
POK7UUE2	2	2
POK8ARR7	1	1
POK8JV28	2	2
POKBV1E9	2	1
POKDBGE3	2	2
POKFEMR5	1	1
POKJJ193	3	3
POKKJWF7	3	3
POKPGCB2	3	2
POKQWMK4	3	3
POKW65Q6	3	3
POM032W8	4	3
POM0B5W3	3	3
POM0C276	3	2
POM1P4D0	4	3
POM5D889	3	1
POM5F0B0	3	3
POM683A6	3	3
POMAEFG1	3	3
POMBDEC1	1	1
POMBH2W5	3	3
POMFCUV3	3	3
POMH9582	1	1
POMHEP22	3	1
POMKU2R6	4	3
POMN68A2	3	3
POMPTAA6	3	3
POMTC4J3	2	2
PON4BWP5	3	3
PON4M924	3	NA
PON4XGE2	1	1
PON5AXT5	1	1
PON6A3U7	1	1
PON6QVX4	3	3
PON9HDD3	3	3
PONB8DB9	1	1
PONE0Q29	3	3
PONET618	2	3
PONGW5A5	3	3
PONHC470	3	3
PONHGT12	3	3
PONKF7A1	3	3
PONMR413	3	3
PONNUT88	4	3
PONPWM89	3	3
PONQW3D2	2	2
PONT1DT6	3	2
PONU2174	3	3
PONWTCM1	1	1
PONWXC77	3	3
POP20RB2	1	NA
POP2B008	3	3
POP36085	1	1
POP3U345	2	1
POP59R81	3	2
POP5W389	1	1
POP617D2	3	3
POP66165	1	1
POP7XFE7	3	3
POPA2240	2	NA
POPDR1Q3	1	1
POPGP8B7	1	1
POPHD5K5	1	NA
POPPTFG6	3	3
POPQ6B16	1	NA
POPQKP94	4	4
POPU9C85	3	3
POPWREJ0	3	3
POQ00FM6	3	1
POQ10732	1	1
POQ38MJ9	4	4
POQ3KXK8	2	2
POQ3V349	2	NA
POQ66FA1	1	NA
POQ6GKB0	3	2
POQ79828	3	3
POQ7R6R7	3	3
POQ8RMJ8	1	NA
POQA0BQ2	2	NA
POQA3NE2	3	3
POQAK6J0	1	1
POQC3XC0	3	2
POQDKGQ4	3	3
POQEF6D5	3	3
POQG4N73	3	3
POQMQ6V0	3	3
POQPG6H1	3	NA
POQPV1H5	3	1
POQQFTB8	3	2
POQQP918	2	3
POQQT7K6	1	NA
POQR1EC4	3	3
POQT1CF9	1	NA
POQUK4J7	1	NA
POQVHNP2	1	1
POQW7TB1	1	NA
POR7V363	3	2
POR868H5	1	1
PORA34U6	3	3
PORD7K33	1	1
POREE676	3	3
PORFFHG5	3	NA
PORJM3E6	3	3
PORPHGD0	1	1
PORV5MM9	3	3
PORV6JC0	3	3
PORVAWM1	3	3
PORWJEP0	3	1
PORWWUM2	1	NA
POT2CUQ8	3	3
POT397B5	1	NA
POT3DBG2	2	2
POT4CNF5	2	2
POT53H79	3	3
POT588F5	4	4
POT69MN7	3	3
POT6NWW1	2	2
POT92876	4	4
POT94PG1	2	2
POT94U14	3	3
POT9PEU3	1	NA
POTBANG9	3	3
POTBMUP3	1	3
POTEHQK7	2	2
POTENWA6	2	1
POTFCE26	3	3
POTJHRE3	2	2
POTK1AK6	3	3
POTM0CE8	3	1
POTNVK91	2	2
POTPCHX5	3	3
POTPXFK1	3	3
POTQ2849	3	3
POTQ9QC0	3	3
POTV7Q81	2	1
POTVVGV9	3	3
POU0DJU0	3	3
POU37G61	3	3
POU5A7K3	3	2
POU5A968	3	3
POU83AE0	1	1
POUAPQW8	1	NA
POUARR42	3	3
POUEH7K4	3	2
POUF5186	3	3
POUFCW55	3	3
