PROCEDURE_CODE	Q12012	Q12013	Q12014	Q12015	Q12016	Q22012	Q22013	Q22014	Q22015	Q22016	Q32012	Q32013	Q32014	Q32015	Q32016	Q42012	Q42013	Q42014	Q42015	Q42016
E0116	308	227	210	242	76	324	213	204	219	59	300	229	222	82	0	246	191	202	87	0
E0117	35	56	54	29	35	26	46	48	34	35	41	44	40	47	0	46	45	33	57	0
E0144	357	170	150	145	82	402	186	148	145	97	280	171	126	123	0	234	218	128	112	0
E0187	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	0
E0196	798	494	476	373	287	679	496	451	399	204	602	480	436	352	0	575	527	379	315	0
E0198	1	0	0	0	0	1	1	1	0	0	2	1	0	1	0	1	0	0	0	0
E0199	315	255	146	103	76	395	293	141	116	61	300	203	114	80	0	263	183	107	93	0
E0273	4	2	3	1	1	0	5	3	2	1	2	0	3	3	0	2	3	3	0	0
E0291	0	0	3	3	1	0	0	8	3	3	0	2	7	6	0	1	3	3	3	0
E0296	232	207	95	102	89	265	200	78	108	78	248	155	88	126	0	206	139	92	138	0
E0300	1	0	3	5	0	1	2	4	3	0	0	0	3	3	0	1	1	7	1	0
E0371	0	369	281	553	407	0	321	373	515	347	0	294	428	505	0	361	239	526	449	0
E0450	5919	4976	4662	3888	0	5663	4810	4363	3728	0	5367	4741	4271	3671	0	5081	4656	4110	3497	0
E0455	0	1	1	0	0	0	1	0	0	0	0	2	0	1	0	0	0	0	0	0
E0460	74	66	51	39	0	73	63	50	31	0	70	57	43	36	0	61	51	44	170	0
E0461	818	667	688	711	0	794	684	703	720	0	791	683	707	779	0	745	645	726	749	0
E0463	8534	9756	11088	11898	4	8784	10017	11159	12109	4	9199	10093	11423	12239	0	9195	10410	11459	12177	0
E0464	4735	9352	22432	49500	1	5595	11083	27410	58606	0	6605	13606	33773	64458	0	7712	17632	41998	66284	0
E0472	0	88	62	44	20	0	72	48	32	18	0	79	52	34	0	73	61	48	27	0
E0485	5	5	7	3	7	9	6	5	5	5	11	2	9	16	0	9	7	7	7	0
E0572	44	74	49	46	39	48	79	46	50	32	24	73	36	58	0	42	48	38	50	0
E0575	40	21	8	15	7	29	13	5	17	4	21	16	8	15	0	18	4	8	13	0
E0604	38	23	26	38	11	24	29	25	42	13	25	21	32	25	0	57	24	27	13	0
E0619	12	10	9	12	5	4	13	5	12	7	1	10	7	14	0	4	8	6	8	0
E0636	719	726	751	1778	906	691	775	791	1954	576	721	856	1069	1880	0	751	813	1504	1686	0
E0640	101	85	28	35	62	89	71	13	56	11	103	72	25	43	0	91	84	23	58	0
E0650	475	632	687	1791	650	610	707	794	1275	504	673	780	956	948	0	632	595	1351	631	0
E0660	69	94	37	36	21	74	62	40	21	15	72	64	35	32	0	73	37	25	25	0
E0675	1863	9130	4829	5280	3000	1932	9560	5983	4814	2466	2016	4563	6355	4544	0	6671	4216	5543	3825	0
E0930	72	60	89	22	14	65	53	74	18	11	63	61	51	19	0	66	97	27	16	0
E0948	19	15	2	4	3	28	4	5	11	2	19	6	3	7	0	19	5	6	3	0
E0967	75	79	69	60	35	83	83	44	55	36	109	77	54	60	0	81	74	57	35	0
E0968	5	6	7	1	8	8	10	4	3	3	8	6	2	8	0	3	7	2	9	0
E0992	0	674	528	508	393	0	684	540	592	397	0	561	499	572	0	686	578	493	457	0
E1010	731	566	711	948	776	815	643	876	959	694	740	691	964	992	0	708	834	1039	1054	0
E1014	32	16	29	22	18	36	15	36	34	9	29	25	20	38	0	19	29	19	24	0
