Var1	Freq
04000013775	0
04000013780	0
04000013801	0
04000013802	0
04000013803	0
04000013833	0
04000013846	0
04000013849	0
04000013886	0
04000013890	0
04000013898	0
04000013899	0
04000013901	0
04000013910	0
04000013928	0
04000013929	0
04000013934	0
04000013939	0
04000013959	0
04000013978	0
04000013989	0
04000013990	0
04000014005	0
04000014009	0
04000014021	0
04000014023	0
04000014026	0
04000014030	0
04000014037	0
04000014044	0
04000014054	0
04000014062	0
04000014068	0
04000014083	0
04000014096	0
04000014100	0
04000014103	0
04000014117	0
04000014120	0
04000014124	0
04000014138	0
04000014158	2
04000014180	0
04000014187	0
04000014196	0
04000014210	0
04000014219	0
04000014227	0
04000014235	0
04000014237	0
04000014239	0
04000014306	0
04000014325	0
04000014334	0
04000014335	0
04000014373	0
04000014377	0
04000014382	0
04000014386	0
04000014388	0
04000014394	0
04000014400	0
04000014408	0
04000014418	0
04000014419	0
04000014421	0
04000014426	0
04000014439	0
0400001444	0
04000014441	0
04000014446	0
04000014458	0
04000014470	0
04000014472	0
04000014480	0
04000014484	0
04000014491	0
04000014500	0
04000014502	0
04000014509	0
04000014520	0
04000014533	0
04000014534	0
04000014544	0
04000014545	2
04000014573	0
04000014601	0
04000014604	0
04000014608	0
04000014627	0
04000014643	0
04000014661	0
04000014667	0
04000014673	0
04000014674	0
04000014677	0
04000014724	0
04000014728	0
04000014733	0
04000014739	0
04000014754	0
04000014782	0
04000014785	0
04000014788	0
04000014794	0
04000014813	0
04000014815	0
04000014821	0
04000014833	0
04000014838	0
04000014842	0
04000014846	0
04000014850	0
04000014853	0
04000014855	0
04000014867	0
04000014874	0
04000014875	0
04000014880	0
04000014885	0
04000014895	0
04000014914	0
04000014919	0
0400001494	0
04000014952	0
04000014995	0
04000015007	0
04000015022	0
04000015040	0
04000015045	0
04000015060	0
04000015082	0
04000015100	0
04000015133	0
04000015159	0
04000015210	0
04000015490	0
04000015580	0
04000015654	0
04000015875	0
04000015R	0
04000016008	0
04000016076	0
04000016120	0
04000016160	6
0400001686	0
04000017040	0
04000017130	0
04000017140	6
040000172	0
040000173335	0
04000017385	0
0400001791	0
04000019055	0
04000019070	0
04000019352	0
0400002	0
040000200008	0
04000020005	0
04000020009	0
04000020015	0
04000020018	0
04000020036	0
0400002005	0
04000020117	0
04000020120	0
040000201470	0
04000020205	0
04000020274	0
04000020335	0
04000020601NAB	0
04000021038	0
04000021114	0
04000021127	0
04000021141	0
